,name,date
0,afacanlar,2016-07-31
1,winnetoo,2016-07-31
2,ameritrade,2016-07-31
3,gouvxew,2016-07-31
4,forexanomaly,2016-07-31
5,white xxx star,2016-07-31
6,stratega,2016-07-31
7,strijbos22,2016-07-31
8,gbp migi,2016-07-31
9,paulin21,2016-07-31
10,uuicc1,2016-07-31
11,tradervic,2016-07-31
12,jack the piper,2016-07-31
13,aloysia,2016-07-31
14,pjonas25,2016-07-31
15,macau 853,2016-07-31
16,hero2hero,2016-07-31
17,tradervic,2016-07-31
18,marketplace,2016-07-31
19,arbtrader,2016-07-31
20,vseseryezno,2016-07-31
21,zufxyudjin,2016-07-31
22,lowriskdd,2016-07-31
23,azimutfx,2016-07-31
24,fxgunns,2016-07-31
25,kreativfx,2016-07-31
26,adatradingsystem,2016-07-31
27,adequate trader,2016-07-31
28,bufabuxing06,2016-07-31
29,cyber33440000,2016-07-31
30,mollusca,2016-07-31
31,my profitable strategie,2016-07-31
32,pts systems,2016-07-31
33,turkishfxfund,2016-07-31
34,ufongvang,2016-07-31
35,algosystem,2016-07-31
36,evwnecagrc,2016-07-31
37,fangda02,2016-07-31
38,starforex,2016-07-31
39,yn investments,2016-07-31
40,raolinxuansf,2016-07-31
41,azumifrx,2016-07-31
42,forexmudmin,2016-07-31
43,foxtrot fx,2016-07-31
44,ibuylowsellhi4,2016-07-31
45,manav predictor,2016-07-31
46,moneygora,2016-07-31
47,pangrangofxmt30,2016-07-31
48,profit tt,2016-07-31
49,puerxian66,2016-07-31
50,secretsys,2016-07-31
51,trishann,2016-07-31
52,trulala,2016-07-31
53,wildhometrading,2016-07-31
54,1queen3kidsfx,2016-07-31
55,althaea,2016-07-31
56,cruz rainmaker,2016-07-31
57,dubyoutrend,2016-07-31
58,gurupipsmaker,2016-07-31
59,hawk rt,2016-07-31
60,algmonshower,2016-07-31
61,pet mark,2016-07-31
62,swissrunners,2016-07-31
63,zulusafari,2016-07-31
64,adans,2016-07-31
65,aleja mar b,2016-07-31
66,dynamic swan,2016-07-31
67,fetumelec,2016-07-31
68,forexvictory,2016-07-31
69,fxattila,2016-07-31
70,moneygrowingfifo,2016-07-31
71,shuangxi,2016-07-31
72,spectrum,2016-07-31
73,candalalbadwy,2016-07-31
74,karemelkarem10,2016-07-31
75,notstrictlyjudge,2016-07-31
76,ownfx scalper,2016-07-31
77,parithiyan,2016-07-31
78,special one bdat,2016-07-31
79,theforcemaster,2016-07-31
80,zigemast,2016-07-31
81,anythingcanhappen,2016-07-31
82,dunykalex,2016-07-31
83,focusmagic,2016-07-31
84,gastinfx,2016-07-31
85,iwanttocanada,2016-07-31
86,kaba2015,2016-07-31
87,ruzulutrader,2016-07-31
88,tradingpower,2016-07-31
89,tryityourself,2016-07-31
90,fxshowroom,2016-07-31
91,navajofx,2016-07-31
92,profix,2016-07-31
93,qaeurjpy,2016-07-31
94,tiantian362,2016-07-31
95,jiaquin,2016-07-31
96,lasthunter,2016-07-31
97,lasthunet,2016-07-31
98,showshow,2016-07-31
99,tarek black and whait,2016-07-31
100,bathi akeh,2016-08-31
101,boloniiya,2016-08-31
102,british yen,2016-08-31
103,focused swings,2016-08-31
104,focus magic,2016-08-31
105,iplatinum,2016-08-31
106,koteykofx,2016-08-31
107,new hope for you,2016-08-31
108,swiss grid,2016-08-31
109,zezetrader,2016-08-31
110,hugostrategy08,2016-09-30
111,rosamunda22,2016-09-30